manchester,  Manchester
london,      London
liverpool,   Liverpool
birmingham,  Birmingham,   # e.g.Aston Villa
westbrom,    West Bromwich
newcastle,   Newcastle upon Tyne
stoke,       Stoke-on-Trent
sunderland,  Sunderland
wigan,       Wigan
southampton, Southampton
reading,     Reading
norwich,     Norwich
swansea,     Swansea
